	# Data1   	  Data2    	  Data3    	  Data4    	  Data5
 3117.87 	  2443.37 	  2206.18 	  3124.33 	  2304.34 	
 2397.86 	  1357.74 	  4411.58 	  1732.08 	  2566.72 	
 2683.22 	  3313.30 	  2028.43 	  3169.61 	  1712.73 	
 2482.38 	   967.76 	  2344.31 	  1866.61 	  2190.04 	
 1858.32 	  4853.08 	  2613.15 	  2865.24 	  2566.93 	
 3164.53 	  1629.26 	  2708.08 	  5145.70 	  1688.71 	
 3460.76 	  1926.18 	  3502.94 	  2005.49 	  1733.66 	
 5083.82 	  2113.79 	  2107.65 	  2734.22 	  3246.92 	
 5119.68 	  3043.64 	  3352.45 	  1357.74 	  4840.30 	
 2585.40 	  2698.21 	  2421.43 	  2482.38 	  5354.56 	
 3302.16 	  1729.99 	  2676.83 	  2453.73 	  1777.78 	
 1508.42 	  2394.01 	  1971.63 	  3235.55 	  2635.58 	
 2702.42 	  3332.26 	  3439.75 	  1663.17 	  2926.50 	
 2923.36 	  4744.83 	  2984.42 	  1947.33 	  6313.32 	
  459.95 	  4001.64 	  2468.10 	  2869.18 	  1769.12 	
 1793.45 	  2929.00 	  2497.15 	  4615.60 	  3251.55 	
 3216.01 	  3606.82 	  2572.59 	  4040.19 	  2757.56 	
 1473.29 	  5313.89 	   796.44 	  1273.37 	  3862.16 	
 1757.37 	  3190.28 	  6215.77 	  2297.61 	  2544.49 	
 2798.66 	  2287.31 	  2280.27 	  2047.57 	  3114.58 	
 2600.27 	  3053.87 	  4754.18 	  3533.35 	  1969.05 	
 1853.02 	  1668.56 	   829.26 	  2989.36 	  4709.60 	
 2092.18 	  2758.79 	  2689.53 	  3297.19 	  3687.48 	
 2660.06 	  2357.87 	  2247.15 	  3651.47 	  6036.53 	
 2462.31 	  4233.42 	  2906.94 	  1182.65 	  3440.78 	
 1217.33 	  1987.89 	  2415.84 	  2700.20 	  3120.68 	
 1891.34 	  2189.03 	  2111.84 	  2379.14 	  2058.78 	
 2692.32 	  2876.03 	  1884.33 	  1355.62 	  2353.35 	
 2527.26 	  1892.29 	  1652.65 	  1815.75 	  1676.10 	
 3537.18 	  1809.99 	  2460.72 	  4806.65 	  1864.48 	
 2091.17 	  1681.30 	  2556.67 	  2081.26 	  1915.27 	
 2194.28 	  2955.35 	  2268.88 	  1515.80 	  2501.83 	
 1983.97 	  2291.29 	  1878.35 	  2396.37 	  1636.98 	
 3009.70 	  2033.67 	  2590.56 	  1494.02 	  2030.95 	
 2571.57 	  2355.01 	  1467.11 	  2838.74 	  2449.17 	
 4317.92 	  2453.70 	  1465.80 	  1911.61 	  1602.00 	
 2829.19 	  3451.45 	  2558.26 	  2682.91 	  1863.57 	
 3791.18 	  1830.88 	  4251.84 	  1324.03 	  2119.71 	
 2005.91 	  1177.03 	  3705.54 	  2433.61 	  2319.17 	
 3046.97 	  1997.58 	  2042.75 	  3526.42 	  3437.60 	
 2024.25 	  2233.41 	  5882.18 	  2638.62 	  1881.26 	
 1149.69 	  1806.68 	  3428.50 	  2555.73 	  4284.81 	
 2300.32 	  3308.06 	   975.36 	  2536.16 	  1863.04 	
 1131.86 	  5356.60 	  3019.93 	  1192.32 	  3396.30 	
 1356.81 	  3692.94 	   794.87 	  2393.41 	  1809.62 	
 1062.67 	  2035.70 	  3864.17 	  3252.34 	  1678.81 	
